Route,County,VHD_Rank,Annual_VHD_at_35mph,Annual_VMT,Incident_Count,Incidents_Per_Day,Incidents_Per_Million_VMT
405,LA,113,13751766,4682455433,20648,56.57,4.41
101,LA,105,7514648,3115701533,9168,25.12,2.94
5,LA,96,7293727,4444777395,22495,61.63,5.06
10,LA,97,5299844,3665141536,20580,56.38,5.62
80,ALA,23,4833705,650212690,3783,10.36,5.82
110,LA,107,4690433,2395902944,12666,34.7,5.29
210,LA,112,4585712,3410040742,12702,34.8,3.72
5,SD,152,4289077,4313682262,12388,33.94,2.87
880,ALA,29,4189043,2461281095,10336,28.32,4.2
605,LA,114,3707565,2195412171,10078,27.61,4.59
60,LA,101,3303984,2685060725,10117,27.72,3.77
101,SCL,49,3095938,2641482230,8116,22.24,3.07
405,ORA,179,2893120,2298279670,7242,19.84,3.15
580,ALA,27,2792019,2648065198,11190,30.66,4.23
805,SD,164,2414605,1914552105,6650,18.22,3.47
101,SON,69,2392899,1185132304,3277,8.98,2.77
105,LA,106,2238465,1210476947,6644,18.2,5.49
5,ORA,167,2101256,4142106205,14193,38.88,3.43
101,SM,61,2048912,1922874562,5456,14.95,2.84
15,SD,154,1975717,3665829640,9489,26,2.59
280,SCL,53,1971016,907626451,5090,13.95,5.61
85,SCL,47,1882470,931432673,2834,7.76,3.04
55,ORA,170,1770798,1276404700,4419,12.11,3.46
134,LA,110,1649851,1010438320,4047,11.09,4.01
91,ORA,174,1616059,2118608534,8085,22.15,3.82
710,LA,115,1555077,1266390010,7659,20.98,6.05
680,SCL,54,1528757,598368287,1985,5.44,3.32
91,LA,104,1514074,1230654469,6176,16.92,5.02
91,RIV,123,1497842,2039544168,8861,24.28,4.34
24,CC,33,1405681,600414831,1895,5.19,3.16
680,CC,38,1318475,1818597449,5262,14.42,2.89
101,VEN,117,1273156,1521652066,3920,10.74,2.58
680,ALA,28,1252792,1066639494,3096,8.48,2.9
15,SBD,126,1249819,8197789544,8751,23.98,1.07
80,SF,57,1233501,414955164,2596,7.11,6.26
170,LA,111,1230913,485744280,2094,5.74,4.31
101,SF,58,1226045,433119778,2691,7.37,6.21
215,RIV,124,1220326,2058952234,6570,18,3.19
4,CC,32,1182054,1355341412,4507,12.35,3.33
80,CC,34,1130315,738288167,3428,9.39,4.64
15,RIV,120,1123704,3076912192,7503,20.56,2.44
10,SBD,125,1102332,2730540890,11337,31.06,4.15
57,ORA,171,1051692,1020347814,2668,7.31,2.61
84,ALA,24,1047007,185084684,737,2.02,3.98
237,SCL,52,1013775,569299601,1035,2.84,1.82
92,SM,60,951097,405746690,1488,4.08,3.67
78,SD,160,924247,788294394,3024,8.28,3.84
51,SAC,10,914084,485401114,3609,9.89,7.44
280,SM,62,825755,1108231921,3304,9.05,2.98
57,LA,100,815670,811262130,3384,9.27,4.17
14,LA,98,802079,1130367290,5405,14.81,4.78
80,SOL,65,758166,2432168840,6178,16.93,2.54
8,SD,153,744040,1337020769,6414,17.57,4.8
1,SCR,75,732800,639600069,1569,4.3,2.45
101,MRN,40,727604,1301667351,6219,17.04,4.78
210,SBD,129,672613,1821016969,2996,8.21,1.65
5,SAC,7,671701,1343340779,5231,14.33,3.89
125,SD,162,661477,450952795,194,0.53,0.43
880,SCL,55,658190,674313456,2389,6.55,3.54
238,ALA,26,657809,203339817,489,1.34,2.4
205,SJ,144,653801,1073477885,1205,3.3,0.01
92,ALA,25,653525,237588975,940,2.58,3.96
17,SCL,45,649590,348909163,2107,5.77,6.04
99,SAC,12,647955,1233215299,5069,13.89,4.11
50,SAC,9,613857,1422262108,6541,17.92,4.6
37,SOL,64,611241,137651139,425,1.16,3.09
118,LA,108,593563,1055807128,3453,9.46,3.27
22,ORA,168,592624,883309395,3594,9.85,4.07
163,SD,163,553031,585675774,2031,5.56,3.47
52,SD,155,542835,559252202,1645,4.51,2.94
80,YOL,17,508787,540480367,2001,5.48,3.7
60,SBD,127,469427,842343398,2923,8.01,3.47
60,RIV,121,434820,1766562817,5116,14.02,2.9
37,SON,68,429105,86204831,31,0.08,0.36
87,SCL,48,424240,314934947,1633,4.47,5.19
580,CC,37,416173,198525942,983,2.69,4.95
73,ORA,172,412384,430930552,908,2.49,2.11
2,LA,95,410015,488397479,16,0.04,0.03
94,SD,161,402061,471411584,2631,7.21,5.58
24,ALA,22,369416,210907338,1449,3.97,6.87
280,SF,59,310708,358142887,1952,5.35,5.45
5,FRE,78,298109,555748468,765,2.1,1.38
242,CC,36,297994,159032903,679,1.86,4.27
12,SOL,63,294160,78357892,132,0.36,1.68
101,SB,72,282041,842993968,3345,9.16,3.97
215,SBD,130,275598,945028486,4137,11.33,4.38
56,SD,157,262493,210835051,452,1.24,2.14
1,MON,70,220016,461705156,1296,3.55,2.81
99,SJ,141,210125,1059254867,3110,8.52,2.94
80,PLA,5,210066,1430481526,4727,12.95,3.3
71,SBD,128,199657,317735223,803,2.2,2.53
37,MRN,39,164603,42287948,200,0.55,4.73
50,YOL,16,162968,160176086,825,2.26,5.15
17,SCR,76,156834,375413559,739,2.02,1.97
5,KER,85,153409,785446206,261,0.72,0.33
99,FRE,80,151932,780380886,2347,6.43,3.01
65,PLA,4,149952,311279662,1029,2.82,3.31
71,LA,102,138383,166607219,525,1.44,3.15
99,KER,88,136500,1261761745,514,1.41,0.41
241,ORA,177,135890,517167727,330,0.9,0.64
70,YUB,20,133663,179708734,549,1.5,3.05
80,SAC,11,126379,1005650003,4746,13,4.72
23,VEN,116,123807,363511548,596,1.63,1.64
152,SCL,50,117809,71933669,446,1.22,6.2
71,RIV,122,109972,91568164,194,0.53,2.12
680,SOL,66,109888,373911636,552,1.51,1.48
41,FRE,79,109833,553685791,1731,4.74,3.13
10,RIV,119,107797,5605354614,4502,12.33,0.8
101,SLO,77,107785,722734441,2817,7.72,3.9
99,STA,147,107133,943089643,2405,6.59,2.55
46,KER,86,102548,53870393, -   ,0,0.01
99,MAD,90,91069,22246320,21,0.06,0.94
605,ORA,180,85921,143424889,593,1.62,4.13
99,TUL,93,71608,997268541,1318,3.61,1.32
580,SJ,145,69036,102654230,441,1.21,4.3
12,NAP,42,67573,83056349,81,0.22,0.98
156,SBT,74,67007,95815321,30,0.08,0.31
160,SAC,13,56489,68331513,351,0.96,5.14
180,FRE,82,36255,351853924,1060,2.9,3.01
80,NEV,3,36132,522576590,1781,4.88,3.41
132,STA,148,35434,11467673,1,0,0.09
101,MON,71,34508,240024162,2327,6.38,9.69
50,ED,2,34070,614933130,1741,4.77,2.83
118,VEN,118,33011,565810891,1280,3.51,2.26
905,SD,165,32800,164584176,324,0.89,1.97
980,ALA,30,30572,68178886,361,0.99,5.29
25,SCL,46,29273,24738966, -   ,0,0.01
76,SD,159,21314,131391707,23,0.06,0.18
120,TUO,151,21287,32986576,5,0.01,0.15
47,LA,99,20373,58275571,84,0.23,1.44
133,ORA,175,20159,254060230,196,0.54,0.77
113,YOL,18,19630,181747838,225,0.62,1.24
168S,FRE,83,19595,235019133, -   ,0,0.01
58,KER,87,17510,232144774,462,1.27,1.99
54,SD,156,15538,287319361,810,2.22,2.82
5,YOL,15,14904,343733204,747,2.05,2.17
5,SJ,139,14251,1053126456,3757,10.29,3.57
219,STA,149,11504,48986057, -   ,0,0.01
67,SD,158,8354,84555733,614,1.68,7.26
108,TUO,150,8351,3299668,2,0.01,0.61
90,LA,103,8013,76724426,342,0.94,4.46
99,BUT,1,7372,59973595,834,2.28,13.91
180S,FRE,84,7308,35612461, -   ,0,0.01
1,SF,56,7265,65635150,11,0.03,0.17
160,CC,35,5218,19911658,140,0.38,7.03
99,MER,136,5136,724944987,1365,3.74,1.88
25,SBT,73,4426,28889888,3,0.01,0.1
132,SJ,143,4198,44493006,48,0.13,1.08
261,ORA,178,3499,52929771,71,0.19,1.34
29,NAP,43,2978,61661819,284,0.78,4.61
580W,MRN,41,2842,31101722,124,0.34,3.99
4,SJ,138,2034,242059806,587,1.61,2.43
120,SJ,142,1811,185114355,598,1.64,3.23
198,TUL,94,1671,189065270,499,1.37,2.64
780,SOL,67,1328,100938007,409,1.12,4.05
126,LA,109,1275,15353864,20,0.05,1.3
156,SCL,51,523,3192499, -   ,0,0.01
80,NAP,44,494,50667980,145,0.4,2.86
99,SUT,14,365,299286492,63,0.17,0.21
41S,MAD,92,297,19500921,9,0.02,0.46
39,ORA,169,278,268273808, -   ,0,0.01
178,KER,89,271,37724469,88,0.24,2.33
267,PLA,6,154,12215990, -   ,0,0.01
259N,SBD,131,61,22678586,1,0,0.04
1,ORA,166,51,94972354, -   ,0,0.01
74,ORA,173,41,273736078, -   ,0,0.01
152,MAD,91,34,489272242,1110,3.04,2.27
49,MAR,134,25,16383305,2,0.01,0.12
152,MER,137,10,60160664,313,0.86,5.2
12,SJ,140,4,20083070,24,0.07,1.2
12,SAC,8, -   ,7025872, -   ,0,0.01
275,YOL,19, -   ,517585, -   ,0,0.01
13,ALA,21, -   ,96509789,400,1.1,4.14
880S,ALA,31, -   ,30580079, -   ,0,0.01
168,FRE,81, -   ,81246267,621,1.7,7.64
88,AMA,132, -   ,5793715, -   ,0,0.01
104,AMA,133, -   ,113273591, -   ,0,0.01
5,MER,135, -   ,54700235,457,1.25,8.35
5,STA,146, -   ,112618426,448,1.23,3.98
142,ORA,176, -   ,149778734, -   ,0,0.01
